epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.7477,2.02951,2.86941,0.62608,5.35322,1.98157,0.26369,0.33333,0.35975,0.2231,0.26369,0.33333,0.38234,0.15023,2.13498,3.20739,0.49697,3.05175,1.83314,0.09602,2e-05,2e-05
2,5.4255,1.3717,2.87833,0.53802,1.74406,1.33625,0.27272,0.33333,0.42416,0.33825,0.27272,0.33333,0.42416,0.1483,1.52423,3.29105,0.40575,2.31705,1.41769,0.0910448,4.47752e-05,4.47752e-05
3,7.10626,1.31552,2.53122,0.52444,1.11917,1.21619,0.9728,0.5,0.56533,0.37335,0.9728,0.5,0.54688,0.19582,1.71823,3.17468,0.35572,2.3814,1.30858,0.0860693,6.93007e-05,6.93007e-05
4,8.72064,1.18652,2.80907,0.45946,1.04934,1.11932,0.89429,0.70715,0.71992,0.50495,0.89429,0.70715,0.71992,0.21275,1.53328,3.35798,0.34144,1.77319,1.34423,0.0810936,9.35764e-05,9.35764e-05
5,10.4065,1.2487,2.99922,0.46803,1.09377,1.13284,0.6833,0.54158,0.66616,0.4392,0.73897,0.58333,0.65448,0.23658,1.5678,3.11022,0.29738,1.67732,1.34096,0.0761176,0.000117602,0.000117602
6,11.917,1.14894,2.86573,0.46443,0.97149,1.10919,0.62522,0.66667,0.72455,0.45253,0.93127,0.5,0.65513,0.1987,1.56007,3.2839,0.29703,1.53728,1.24829,0.0711414,0.000141379,0.000141379
7,13.4501,1.21474,2.5689,0.41187,0.88245,1.07114,1,0.79709,0.83869,0.60213,0.89517,0.71375,0.74229,0.28038,1.16411,3.21931,0.28084,1.14426,1.07732,0.0661649,0.000164905,0.000164905
8,15.4448,1.18274,2.68755,0.4611,1.15723,1.14782,0.9662,0.66667,0.82229,0.51228,0.9662,0.66667,0.82229,0.26606,1.39219,3.13412,0.26288,1.63091,1.20702,0.0611882,0.000188182,0.000188182
9,18.2387,1.14003,2.6273,0.41564,1.18976,1.14325,0.99637,0.75,0.81556,0.5516,0.88222,0.66667,0.70541,0.25907,1.18038,3.02227,0.22284,1.23032,1.00877,0.0562112,0.000211209,0.000211209
10,22.0724,1.21065,2.47634,0.45545,1.07187,1.07637,0.99116,0.91667,0.9278,0.69766,0.94962,0.83333,0.84744,0.29639,0.8768,3.08825,0.21802,0.92148,0.89744,0.051234,0.000233986,0.000233986
11,23.9034,1.29762,2.3666,0.47443,1.02343,1.27571,1,0.73994,0.8319,0.43315,0.88151,0.75,0.74267,0.20949,1.57232,3.14181,0.22823,1.62764,1.18277,0.0462565,0.000256513,0.000256513
12,25.4426,1.18723,2.87161,0.51193,1.31668,1.16601,0.98235,1,0.995,0.5705,0.92734,0.75,0.82832,0.22473,1.40152,3.05224,0.20254,1.31963,1.03612,0.0412788,0.000278791,0.000278791
13,26.8946,1.102,2.29545,0.4357,1.03237,1.09498,1,0.99368,0.995,0.70701,0.91612,0.91068,0.90949,0.32008,1.0624,2.98946,0.1865,0.75517,0.95999,0.0363008,0.000300819,0.000300819
14,28.2782,1.07289,2.82102,0.44176,1.18286,1.03119,1,0.99368,0.995,0.70701,0.91612,0.91068,0.90949,0.32008,1.0624,2.98946,0.1865,0.75517,0.95999,0.0313226,0.000322597,0.000322597
15,29.7983,1.11684,2.07945,0.50461,1.26562,1.14473,0.94822,1,0.995,0.66177,0.78924,0.83333,0.81299,0.2496,0.99737,3.27223,0.20141,1.09042,0.92904,0.0263441,0.000344126,0.000344126
16,31.2503,1.05376,2.48656,0.36429,1.31372,1.03602,0.99395,1,0.995,0.49573,0.66052,0.66667,0.54471,0.18396,1.4389,3.28753,0.17241,0.78454,1.09844,0.0213654,0.000365405,0.000365405
17,32.8257,1.17759,2.04101,0.49067,1.39491,1.14976,0.94025,0.91667,0.98885,0.65358,0.85348,0.83333,0.88315,0.39284,1.09443,2.80928,0.18448,0.82074,0.97943,0.0163864,0.000386434,0.000386434
18,34.2856,1.24807,2.46399,0.45291,1.11042,1.08044,0.94025,0.91667,0.98885,0.65358,0.85348,0.83333,0.88315,0.39284,1.09443,2.80928,0.18448,0.82074,0.97943,0.0114072,0.000407213,0.000407213
19,35.7623,1.24093,2.15916,0.47641,0.96312,1.08869,0.99247,1,0.995,0.60791,0.98455,0.83333,0.85014,0.3858,1.11543,2.80655,0.18647,0.80881,1.00673,0.00642774,0.000427742,0.000427742
20,37.2756,1.37245,2.38827,0.35898,1.03084,1.18772,0.79225,1,0.89008,0.43796,0.65532,0.75,0.5443,0.11567,1.57114,3.85351,0.1974,1.19451,1.20593,0.00144802,0.000448022,0.000448022
21,38.7868,1.43606,2.19531,0.44116,1.08729,1.18069,0.79225,1,0.89008,0.43796,0.65532,0.75,0.5443,0.11567,1.57114,3.85351,0.1974,1.19451,1.20593,0.00045005,0.00045005,0.00045005
22,40.3038,1.33289,2.36674,0.40151,0.9557,1.16319,0.89231,1,0.98269,0.685,0.8157,0.73864,0.76066,0.29787,1.2282,3.20374,0.18568,0.77198,1.07575,0.000447553,0.000447553,0.000447553
23,41.8814,1.25575,2.63636,0.46546,0.94682,1.15656,0.98436,1,0.995,0.62176,0.82002,0.83333,0.77553,0.25453,1.3111,3.05884,0.16936,0.79813,1.11707,0.000445055,0.000445055,0.000445055
