epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,99.9053,1.36464,2.48028,0.41065,1.86278,1.25771,0.08205,0.5,0.25824,0.08108,0.08191,0.5,0.20196,0.0746,1.65005,2.983,0.15159,13.484,1.19449,0.000435065,0.000435065,0.000435065
28,103.01,1.18327,2.45403,0.39159,1.49676,1.13,0.92132,0.9772,0.98269,0.71378,0.82839,0.75,0.82291,0.29551,0.89051,2.82413,0.14708,1.12975,0.96194,0.000432568,0.000432568,0.000432568
29,106.285,1.2624,2.39141,0.49152,1.30099,1.28766,0.92132,0.9772,0.98269,0.71378,0.82839,0.75,0.82291,0.29551,0.89051,2.82413,0.14708,1.12975,0.96194,0.00043007,0.00043007,0.00043007
30,114.196,1.45139,2.36351,0.4709,1.33574,1.29023,0.70482,0.83333,0.77753,0.33288,0.69898,0.58333,0.6437,0.23557,1.85744,2.98478,0.14012,1.30004,1.38096,0.000427572,0.000427572,0.000427572
31,119.616,1.47605,2.53834,0.3524,1.20989,1.3553,0.91379,0.88499,0.93733,0.70713,0.70654,0.66667,0.69572,0.30447,0.98807,3.03931,0.1345,1.11445,1.06802,0.000425075,0.000425075,0.000425075
32,130.467,1.4875,1.87063,0.50732,1.80068,1.30544,0.91379,0.88499,0.93733,0.70713,0.70654,0.66667,0.69572,0.30447,0.98807,3.03931,0.1345,1.11445,1.06802,0.000422577,0.000422577,0.000422577
33,139.11,1.24984,2.23686,0.40612,1.61311,1.17498,0.1535,0.66667,0.25233,0.13124,0.17269,0.75,0.41876,0.19854,1.33042,2.96997,0.12318,19.2534,1.1734,0.00042008,0.00042008,0.00042008
34,142.72,1.16314,2.78801,0.35667,1.06868,1.16328,0.1535,0.66667,0.25233,0.13124,0.17269,0.75,0.41876,0.19854,1.33042,2.96997,0.12318,19.2534,1.1734,0.000417582,0.000417582,0.000417582
35,145.702,1.22468,2.49688,0.41458,0.93276,1.23212,0.77746,0.87492,0.84422,0.46693,0.77746,0.87492,0.79568,0.30218,1.12109,2.85946,0.13443,1.19231,1.12189,0.000415085,0.000415085,0.000415085
36,148.776,1.08772,2.19501,0.48985,1.12834,1.21024,0.97851,0.91667,0.98885,0.55109,0.95778,0.66667,0.80195,0.30042,1.50933,3.01586,0.17994,1.21462,1.28207,0.000412588,0.000412588,0.000412588
37,151.795,1.24338,2.34665,0.44656,1.69311,1.17752,0.97851,0.91667,0.98885,0.55109,0.95778,0.66667,0.80195,0.30042,1.50933,3.01586,0.17994,1.21462,1.28207,0.00041009,0.00041009,0.00041009
38,154.877,1.38319,2.1217,0.38026,1.62015,1.47041,1,0.97468,0.995,0.71826,0.99385,0.83333,0.83599,0.30651,0.89594,2.82828,0.1558,1.56372,0.96013,0.000407592,0.000407592,0.000407592
39,158.089,1.23702,2.31952,0.49877,1.15593,1.22074,0.82942,0.83333,0.80545,0.3549,0.61146,0.65646,0.61674,0.16609,2.07186,3.2867,0.17226,1.33616,1.59193,0.000405095,0.000405095,0.000405095
40,161.093,1.61012,2.14815,0.38468,1.11628,1.22813,0.82942,0.83333,0.80545,0.3549,0.61146,0.65646,0.61674,0.16609,2.07186,3.2867,0.17226,1.33616,1.59193,0.000402597,0.000402597,0.000402597
41,164.208,1.24415,2.20189,0.38863,1.0877,1.22383,0.98962,1,0.995,0.73322,0.74077,0.75,0.71562,0.32407,0.80266,2.65496,0.13144,0.66497,0.92176,0.0004001,0.0004001,0.0004001
42,167.631,1.2289,2.19673,0.44983,1.38963,1.20247,0.98962,1,0.995,0.73322,0.74077,0.75,0.71562,0.32407,0.80266,2.65496,0.13144,0.66497,0.92176,0.000397603,0.000397603,0.000397603
43,170.957,1.38176,1.84126,0.52972,1.55974,1.24372,0.98481,1,0.995,0.51368,0.73354,0.75,0.66715,0.36044,1.5077,2.52838,0.11537,1.2051,1.26138,0.000395105,0.000395105,0.000395105
44,174.14,1.18391,2.04721,0.42506,1.54883,1.1687,0.98898,1,0.995,0.68416,0.82397,0.83333,0.72939,0.22401,0.96926,2.98362,0.16771,0.72178,0.9504,0.000392608,0.000392608,0.000392608
45,177.201,1.02374,2.33994,0.40795,0.99023,1.05638,0.98898,1,0.995,0.68416,0.82397,0.83333,0.72939,0.22401,0.96926,2.98362,0.16771,0.72178,0.9504,0.00039011,0.00039011,0.00039011
46,180.253,1.0744,1.90473,0.39801,0.88414,1.04516,0.98235,1,0.995,0.63125,0.87288,0.66667,0.70102,0.32974,1.20511,2.82339,0.15068,0.83194,1.17058,0.000387613,0.000387613,0.000387613
47,183.351,1.14608,2.10939,0.48033,0.97622,1.15445,0.99486,1,0.995,0.65982,0.88856,0.83333,0.83939,0.41354,1.15378,2.52452,0.12091,0.713,1.08424,0.000385115,0.000385115,0.000385115
48,186.582,1.2337,2.2053,0.46985,1.29961,1.21822,0.99486,1,0.995,0.65982,0.88856,0.83333,0.83939,0.41354,1.15378,2.52452,0.12091,0.713,1.08424,0.000382617,0.000382617,0.000382617
49,189.871,0.95395,2.42655,0.34933,0.77966,1.06665,0.99239,1,0.995,0.62904,0.77898,0.66667,0.63427,0.3301,1.17856,2.80138,0.10648,0.69067,1.05571,0.00038012,0.00038012,0.00038012
50,193.119,1.10605,2.07297,0.4185,0.93224,1.1502,0.99239,1,0.995,0.62904,0.77898,0.66667,0.63427,0.3301,1.17856,2.80138,0.10648,0.69067,1.05571,0.000377623,0.000377623,0.000377623
51,196.488,1.01619,1.54779,0.47911,0.84949,1.12682,0.99447,1,0.995,0.63769,0.89741,0.83333,0.85826,0.52943,1.11979,2.33296,0.09226,0.60779,1.12485,0.000375125,0.000375125,0.000375125
52,200.167,1.30596,1.73672,0.48397,0.90545,1.22661,0.99499,1,0.995,0.69334,0.74449,0.75,0.78363,0.39476,1.14883,2.65387,0.12467,0.69331,1.0962,0.000372628,0.000372628,0.000372628
53,203.946,1.27913,1.92968,0.43893,0.94257,1.16461,0.99499,1,0.995,0.69334,0.74449,0.75,0.78363,0.39476,1.14883,2.65387,0.12467,0.69331,1.0962,0.00037013,0.00037013,0.00037013
54,207.233,0.98768,2.08134,0.30768,0.70495,1.02386,0.99165,1,0.995,0.70593,0.97526,0.75,0.79407,0.29012,0.96532,3.12576,0.12765,0.60782,1.0098,0.000367632,0.000367632,0.000367632
55,210.393,1.15063,1.96507,0.38412,0.86241,1.126,0.99388,1,0.995,0.73967,0.91298,0.91667,0.91748,0.42409,0.97477,2.44664,0.07318,0.60621,0.99974,0.000365135,0.000365135,0.000365135
56,213.641,0.9399,1.97789,0.41065,0.67244,1.04868,0.99388,1,0.995,0.73967,0.91298,0.91667,0.91748,0.42409,0.97477,2.44664,0.07318,0.60621,0.99974,0.000362638,0.000362638,0.000362638
57,216.951,1.02419,2.32411,0.48544,0.76023,1.08324,0.97968,1,0.995,0.66562,0.5881,0.5,0.46042,0.16211,1.11551,4.03596,0.10579,0.64786,1.0693,0.00036014,0.00036014,0.00036014
58,220.075,1.02502,1.84186,0.43405,0.76454,1.0965,0.97968,1,0.995,0.66562,0.5881,0.5,0.46042,0.16211,1.11551,4.03596,0.10579,0.64786,1.0693,0.000357643,0.000357643,0.000357643
59,223.293,1.30857,1.93516,0.48845,0.95188,1.14343,0.99761,0.91667,0.98885,0.65628,0.98095,0.83333,0.85358,0.51257,1.22841,2.3024,0.11423,0.8798,1.05728,0.000355145,0.000355145,0.000355145
60,226.662,1.20732,2.04206,0.49667,0.91138,1.17358,0.89298,0.69738,0.915,0.56774,0.36208,0.58333,0.32018,0.14237,1.42061,3.50789,0.10397,0.9923,1.13995,0.000352648,0.000352648,0.000352648
61,229.895,1.15847,1.92924,0.3737,0.79438,1.10572,0.89298,0.69738,0.915,0.56774,0.36208,0.58333,0.32018,0.14237,1.42061,3.50789,0.10397,0.9923,1.13995,0.00035015,0.00035015,0.00035015
62,236.286,1.14041,1.69074,0.46294,0.81369,1.14622,0.99506,1,0.995,0.71064,0.91166,0.91667,0.93923,0.34877,0.97854,2.787,0.10761,0.60885,0.99238,0.000347653,0.000347653,0.000347653
63,239.719,1.21104,1.65307,0.36365,0.68547,1.23745,0.99026,1,0.995,0.54468,0.89405,0.83333,0.89212,0.51739,1.47781,2.28013,0.08218,0.7737,1.16188,0.000345155,0.000345155,0.000345155
64,243.077,1.03611,1.40412,0.38662,0.7148,1.06495,0.99026,1,0.995,0.54468,0.89405,0.83333,0.89212,0.51739,1.47781,2.28013,0.08218,0.7737,1.16188,0.000342658,0.000342658,0.000342658
65,246.347,1.14753,1.63252,0.48126,0.79634,1.13582,0.99365,0.83333,0.95786,0.68795,0.79382,0.66667,0.67923,0.40037,1.13297,2.53627,0.08791,0.70365,1.11574,0.00034016,0.00034016,0.00034016
66,251.194,1.14137,1.35691,0.38077,0.84845,1.26708,0.99365,0.83333,0.95786,0.68795,0.79382,0.66667,0.67923,0.40037,1.13297,2.53627,0.08791,0.70365,1.11574,0.000337663,0.000337663,0.000337663
67,256.157,1.07369,1.08351,0.43525,0.7721,1.07523,0.98711,1,0.995,0.69554,0.98635,0.83333,0.90036,0.74333,1.11236,1.76377,0.08044,0.61174,1.02524,0.000335165,0.000335165,0.000335165
68,262.215,0.99609,1.05054,0.40307,0.71322,1.0792,1,0.99292,0.995,0.67708,0.90493,0.83333,0.8357,0.62514,1.12778,2.00102,0.08656,0.66016,1.04335,0.000332667,0.000332667,0.000332667
69,267.007,1.11773,1.07435,0.45101,0.78887,1.15701,1,0.99292,0.995,0.67708,0.90493,0.83333,0.8357,0.62514,1.12778,2.00102,0.08656,0.66016,1.04335,0.00033017,0.00033017,0.00033017
70,271.759,1.01341,0.96035,0.40863,0.72761,1.11927,0.20011,0.91667,0.20288,0.12819,0.20011,0.91667,0.19353,0.15818,1.14939,1.36131,0.07173,5.17418,1.06405,0.000327673,0.000327673,0.000327673
