epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,575.507,0.72522,2.64422,0.95815,0.62672,0.95627,0.99271,1,0.995,0.77922,0.82699,0.83333,0.73508,0.29028,0.75744,2.80499,0.27655,0.66095,0.89575,0.0146216,0.000621608,0.000621608
30,594.52,0.80082,2.04505,0.9469,0.74258,0.99162,0.99341,1,0.995,0.79732,0.91049,0.91667,0.876,0.32776,0.76631,2.79045,0.26824,0.65861,0.90121,0.0116345,0.000634481,0.000634481
31,614.406,0.68173,2.53776,0.53912,0.556,0.8743,0.99342,1,0.995,0.74494,0.91049,0.91667,0.9031,0.3056,0.80536,2.80561,0.26333,0.6801,0.89992,0.00864676,0.00064676,0.00064676
32,634.654,1.00662,2.003,1.43785,0.71686,1.08808,0.99388,1,0.995,0.77086,0.91106,0.91667,0.86136,0.2481,0.83204,2.78837,0.26811,0.62646,0.89151,0.00565844,0.000658445,0.000658445
33,655.227,0.83033,2.2204,0.82546,0.62236,0.97088,0.99388,1,0.995,0.77086,0.91106,0.91667,0.86136,0.2481,0.83204,2.78837,0.26811,0.62646,0.89151,0.00266954,0.000669536,0.000669536
34,675.141,0.83873,2.33965,0.91348,0.67006,0.97571,0.99503,1,0.995,0.76921,0.7462,0.75,0.62856,0.20944,0.80549,2.87504,0.27356,0.58698,0.89261,0.0006733,0.0006733,0.0006733
35,692.878,0.86796,2.65552,1.06332,0.66472,0.97472,0.9955,1,0.995,0.79273,0.74656,0.75,0.56751,0.20694,0.7823,2.88382,0.2741,0.56701,0.89915,0.0006634,0.0006634,0.0006634
36,711.878,0.6701,2.47165,0.8005,0.55774,0.9285,0.99546,1,0.995,0.80411,0.9125,0.91667,0.84074,0.22902,0.72647,2.91277,0.2697,0.56766,0.89642,0.0006535,0.0006535,0.0006535
37,730.823,0.7583,2.01354,0.65813,0.65269,0.95748,0.99546,1,0.995,0.80411,0.9125,0.91667,0.84074,0.22902,0.72647,2.91277,0.2697,0.56766,0.89642,0.0006436,0.0006436,0.0006436
38,749.641,0.83502,1.8139,0.90129,0.58905,0.98357,0.99506,1,0.995,0.78718,0.91214,0.91667,0.8406,0.2724,0.71422,2.8702,0.26328,0.58722,0.89953,0.0006337,0.0006337,0.0006337
